,name,price,adress
0,"
 Дом 37 м² на участке 5 сот.
 ","
 600 000  ₽
","
 ул. Красных Партизан, 95
 "
1,"
 Дом 35 м² на участке 9 сот.
 ","
 550 000  ₽
","
 Садовая ул., 2
 "
2,"
 Дом 30 м² на участке 15 сот.
 ","
 850 000  ₽
","
 Новосибирская ул., 85
 "
3,"
 Дом 25 м² на участке 11.7 сот.
 ","
 450 000  ₽
","
 ул. Гузакова, 121
 "
4,"
 Дом 95 м² на участке 10 сот.
 ","
 4 400 000  ₽
","
 ул. Фрунзе, 48
 "
5,"
 Дом 150 м² на участке 12 сот.
 ","
 2 400 000  ₽
","
 ул. Сваровских, 30
 "
6,"
 Дом 30 м² на участке 7.8 сот.
 ","
 800 000  ₽
","
 ул. Козлова, 30
 "
7,"
 Дача 24 м² на участке 10 сот.
 ","
 470 000  ₽
","
 пос. Точильный, посёлок Замочка
 "
8,"
 Дом 37 м² на участке 17 сот.
 ","
 620 000  ₽
","
 пос. Ук
 "
9,"
 Дом 36 м² на участке 9 сот.
 ","
 570 000  ₽
","
 ул. Работницы, 45
 "
10,"
 Дом 85.5 м² на участке 4.2 сот.
 ","
 2 300 000  ₽
","
 ул. Толстого, 47А
 "
11,"
 Коттедж 140 м² на участке 10 сот.
 ","
 4 499 000  ₽
","
 квартал Липовый
 "
12,"
 Дом 40 м² на участке 14 сот.
 ","
 750 000  ₽
","
 Челябинская область, Аша
 "
13,"
 Дом 50.5 м² на участке 10 сот.
 ","
 850 000  ₽
","
 пос. Новозаречный, ул. Нефтяников
 "
14,"
 Дом 115 м² на участке 15 сот.
 ","
 2 600 000  ₽
","
 ул. Есенина, 5
 "
15,"
 Дом 42 м² на участке 15 сот.
 ","
 800 000  ₽
","
 Аша, Челябинская область, улица 40 лет Октября
 "
16,"
 Дом 56 м² на участке 9.5 сот.
 ","
 1 500 000  ₽
","
 ул. Козлова
 "
17,"
 Дом 20 м² на участке 8 сот.
 ","
 550 000  ₽
","
 ул. Звезда Революции
 "
18,"
 Дом 30 м² на участке 14 сот.
 ","
 100 000  ₽
","
 ул. Кирова, 138
 "
19,"
 Дом 29 м² на участке 5 сот.
 ","
 1 100 000  ₽
","
 Челябинская область, Аша, улица Котельникова, 8
 "
20,"
 Дом 77 м² на участке 1.5 га
 ","
 850 000  ₽
","
 ул Луговая
 "
21,"
 Дом 45 м² на участке 10 сот.
 ","
 600 000  ₽
","
 ул. Пушкина, 7
 "
22,"
 Дом 54 м² на участке 27 сот.
 ","
 700 000  ₽
","
 Республика Башкортостан, Иглинский район, разъезд Казаяк
 "
23,"
 Дача 20 м² на участке 15 сот.
 ","
 570 000  ₽
","
 ул. Лермонтова, 3
 "
24,"
 Дом 24 м² на участке 7 сот.
 ","
 480 000  ₽
","
 ул Оренбургская
 "
25,"
 Дом 227 м² на участке 3 га
 ","
 550 000  ₽
","
 с. Новый Субай, Лесная ул.
 "
26,"
 Дом 50 м² на участке 12.5 сот.
 ","
 2 800 000  ₽
","
 Челябинская область, Аша
 "
27,"
 Дом 140 м² на участке 12 сот.
 ","
 5 500 000  ₽
","
 Челябинская область, Аша
 "
28,"
 Дом 85.7 м² на участке 8 сот.
 ","
 2 500 000  ₽
","
 ул. 40 лет Октября, 33
 "
29,"
 Дом 22 м² на участке 7 сот.
 ","
 350 000  ₽
","
 Химическая ул.
 "
30,"
 Дом 88 м² на участке 10 сот.
 ","
 1 850 000  ₽
","
 ул. Зои Космодемьянской, 10
 "
31,"
 Дом 44 м² на участке 10 сот.
 ","
 700 000  ₽
","
 ул. Спартака
 "
32,"
 Дом 50 м² на участке 25 сот.
 ","
 850 000  ₽
","
 Челябинская область, Ашинский район, посёлок Ук
 "
33,"
 Дом 35 м² на участке 10 сот.
 ","
 380 000  ₽
","
 ул. Труда, 12
 "
34,"
 Дом 20 м² на участке 10 сот.
 ","
 302 000  ₽
","
 ул Островского, 12
 "
35,"
 Дом 123 м² на участке 24 сот.
 ","
 1 500 000  ₽
","
 пос. Ук, Заречная ул.
 "
36,"
 Дом 80 м² на участке 7 сот.
 ","
 1 600 000  ₽
","
 ул. Красных Партизан
 "
37,"
 Дом 120 м² на участке 8 сот.
 ","
 3 370 000  ₽
","
 ул. 8 Марта, 23
 "
38,"
 Дом 54 м² на участке 22 сот.
 ","
 500 000  ₽
","
 с. Казаяк, Вокзальная ул.
 "
39,"
 Дом 80.2 м² на участке 12 сот.
 ","
 2 150 000  ₽
","
 Аша, Челябинская область, Коммунистическая улица
 "
40,"
 Дом 46.1 м² на участке 21 сот.
 ","
 800 000  ₽
","
 Лесная ул., 13
 "
41,"
 Дом 72 м² на участке 10 сот.
 ","
 1 200 000  ₽
","
 ул. Кутузова, 57
 "
42,"
 Дом 50 м² на участке 8 сот.
 ","
 1 300 000  ₽
","
 Уфимская ул., 4
 "
43,"
 Дом 56 м² на участке 35 сот.
 ","
 600 000  ₽
","
 Челябинская область, Аша
 "
44,"
 Дом 40 м² на участке 15 сот.
 ","
 250 000  ₽
","
 с. Казаяк
 "
45,"
 Дом 43 м² на участке 14 сот.
 ","
 700 000  ₽
","
 ул. Куйбышева, 65
 "
46,"
 Дом 37 м² на участке 12 сот.
 ","
 550 000  ₽
","
 Челябинская область, Аша, улица Пирогова, 36
 "
47,"
 Дом 77 м² на участке 35 сот.
 ","
 570 000  ₽
","
 Республика Башкортостан, Иглинский район
 "
48,"
 Дом 32 м² на участке 10 сот.
 ","
 500 000  ₽
","
 Аша
 "
49,"
 Дом 30 м² на участке 15 сот.
 ","
 820 000  ₽
","
 ул. Щербакова, 16
 "
50,"
 Дача 20 м² на участке 3.1 сот.
 ","
 150 000  ₽
","
 Челябинская область, Аша
 "
51,"
 Дом 109.3 м² на участке 15 сот.
 ","
 1 900 000  ₽
","
 ул Матросова 45д
 "
52,"
 Дом 67 м² на участке 14 сот.
 ","
 1 200 000  ₽
","
 Челябинская область, Аша
 "
53,"
 Дом 45 м² на участке 6.5 сот.
 ","
 1 950 000  ₽
","
 ул. Толстого, дом,55
 "
54,"
 Дом 100 м² на участке 10.8 сот.
 ","
 3 500 000  ₽
","
 Уральская ул., 17
 "
55,"
 Дом 55 м² на участке 15 сот.
 ","
 700 000  ₽
","
 Челябинская область, Аша
 "
56,"
 Дом 33 м² на участке 12 сот.
 ","
 500 000  ₽
","
 пос. Ук, Вокзальная ул.
 "
57,"
 Дом 68.8 м² на участке 9 сот.
 ","
 2 400 000  ₽
","
 ул. Котельникова, 26
 "
58,"
 Дом 31 м² на участке 5.9 сот.
 ","
 650 000  ₽
","
 Аксаковская ул.
 "
59,"
 Дом 32 м² на участке 7 сот.
 ","
 200 000  ₽
","
 ул. Чехова, 32
 "
60,"
 Дом 80 м² на участке 15 сот.
 ","
 1 950 000  ₽
","
 Челябинская область, Аша
 "
61,"
 Дом 154 м² на участке 8 сот.
 ","
 4 800 000  ₽
","
 ул. Толстого, 43
 "
62,"
 Дом 68 м² на участке 8 сот.
 ","
 1 380 000  ₽
","
 ул. Звезда Революции
 "
63,"
 Дом 29 м² на участке 15 сот.
 ","
 850 000  ₽
","
 Аша, Челябинская область, Аксаковская улица
 "
64,"
 Дом 35 м² на участке 15 сот.
 ","
 650 000  ₽
","
 ул. Осипенко, 55
 "
65,"
 Дом 35 м² на участке 15 сот.
 ","
 250 000  ₽
","
 посёлок , Ашинский район, Челябинская область, Сухая Атя
 "
66,"
 Дача 20 м² на участке 4 сот.
 ","
 280 000  ₽
","
 Челябинская область, Аша
 "
67,"
 Дом 129 м² на участке 17 сот.
 ","
 3 500 000  ₽
","
 ул Чапаева, 3
 "
68,"
 Дом 37 м² на участке 6 сот.
 ","
 1 200 000  ₽
","
 ул. Челюскинцев, 11
 "
69,"
 Дом 30 м² на участке 13 сот.
 ","
 700 000  ₽
","
 ул. 8 Марта, 61
 "
70,"
 Дом 29 м² на участке 14 сот.
 ","
 180 000  ₽
","
 Западная ул., 103
 "
71,"
 Дом 90 м² на участке 15 сот.
 ","
 880 000  ₽
","
 ул. Есенина, 29
 "
72,"
 Дом 54 м² на участке 10 сот.
 ","
 810 000  ₽
","
 ул. Чапаева, 6
 "
73,"
 Дом 42 м² на участке 15 сот.
 ","
 400 000  ₽
","
 ул Боданово
 "
74,"
 Дом 44 м² на участке 17 сот.
 ","
 550 000  ₽
","
 с. Казаяк
 "
75,"
 Дом 52 м² на участке 6 сот.
 ","
 750 000  ₽
","
 ул. Пугачёва, 53
 "
76,"
 Дом 43 м² на участке 6 сот.
 ","
 1 300 000  ₽
","
 Ленинградская ул.
 "
77,"
 Дача 20 м² на участке 6 сот.
 ","
 160 000  ₽
","
 ул. Пугачёва
 "
78,"
 Дом 80 м² на участке 15 сот.
 ","
 2 500 000  ₽
","
 ул. Щербакова, 5
 "
79,"
 Дом 32 м² на участке 8 сот.
 ","
 600 000  ₽
","
 Красноармейская ул., 3
 "
80,"
 Дом 58 м² на участке 21 сот.
 ","
 1 990 000  ₽
","
 пос. Сухая Атя, Центральная ул.
 "
81,"
 Дом 64 м² на участке 13 сот.
 ","
 830 000  ₽
","
 Узкоколейная ул., 18
 "
82,"
 Дом 76 м² на участке 11 сот.
 ","
 1 550 000  ₽
","
 ул. Канатная, дом 19
 "
83,"
 Дом 25 м² на участке 21 сот.
 ","
 300 000  ₽
","
 ул. Осипенко
 "
84,"
 Дом 37 м² на участке 14 сот.
 ","
 650 000  ₽
","
 Челябинская область, Аша
 "
85,"
 Дом 96 м² на участке 5 сот.
 ","
 850 000  ₽
","
 ул. Звезда Революции
 "
86,"
 Дом 50 м² на участке 15 сот.
 ","
 1 100 000  ₽
","
 ул Энгельса
 "
87,"
 Дом 45 м² на участке 7 сот.
 ","
 1 200 000  ₽
","
 Челябинская область, Аша
 "
88,"
 Дом 23 м² на участке 7.5 сот.
 ","
 390 000  ₽
","
 Химическая ул., 31
 "
89,"
 Дом 42 м² на участке 15 сот.
 ","
 900 000  ₽
","
 ул. Спартака
 "
90,"
 Дом 56 м² на участке 15 сот.
 ","
 550 000  ₽
","
 Челябинская область, Ашинский район
 "
91,"
 Дом 24 м² на участке 8.7 га
 ","
 430 000  ₽
","
 Челябинская область, Аша
 "
92,"
 Дом 49 м² на участке 13 сот.
 ","
 1 350 000  ₽
","
 ул. Осипенко, 69
 "
93,"
 Дом 21 м² на участке 6 сот.
 ","
 250 000  ₽
","
 ул. Декабристов, 18
 "
94,"
 Дом 67 м² на участке 15 сот.
 ","
 700 000  ₽
","
 ул. Станиславского, 41
 "
95,"
 Дом 240 м² на участке 10 сот.
 ","
 1 300 000  ₽
","
 ул. Лебедева, 3
 "
96,"
 Дом 50 м² на участке 11.3 сот.
 ","
 1 400 000  ₽
","
 Челябинская область, Аша, квартал Шиганайка
 "
97,"
 Дом 80 м² на участке 12 сот.
 ","
 1 600 000  ₽
","
 аша
 "
98,"
 Дом 63 м² на участке 6 сот.
 ","
 1 350 000  ₽
","
 ул. Гагарина, 37
 "
99,"
 Дом 36 м² на участке 9 сот.
 ","
 750 000  ₽
","
 ул. Матросова, 20
 "
100,"
 Дом 40 м² на участке 9 сот.
 ","
 1 355 000  ₽
","
 ул. 22 Партсъезда, 104
 "
101,"
 Дача 54 м² на участке 4 сот.
 ","
 250 000  ₽
","
 СНТ 7 Березовая поляна сад
 "
102,"
 Дача 20 м² на участке 3 сот.
 ","
 320 000  ₽
","
 СНТ Сад № 7 Берёзовая поляна, 8-я ул.
 "
103,"
 Дом 28 м² на участке 7 сот.
 ","
 520 000  ₽
","
 ул Заречная
 "
104,"
 Дом 35 м² на участке 6 сот.
 ","
 650 000  ₽
","
 ул. Фрунзе, 60
 "
105,"
 Дом 70 м² на участке 18 сот.
 ","
 999 000  ₽
","
 пос. Ук
 "
106,"
 Дом 37 м² на участке 7.5 сот.
 ","
 430 000  ₽
","
 квартал Липовый
 "
107,"
 Дом 80 м² на участке 10 сот.
 ","
 1 150 000  ₽
","
 пос. Ук
 "
108,"
 Дом 115 м² на участке 13 сот.
 ","
 400 000  ₽
","
 пос. Новозаречный
 "
109,"
 Дом 140 м² на участке 32 сот.
 ","
 8 000 000  ₽
","
 пос. Ук
 "
110,"
 Дом 48.6 м² на участке 5 сот.
 ","
 350 000  ₽
","
 ул. Суворова, 42
 "
111,"
 Дом 58 м² на участке 15 сот.
 ","
 1 550 000  ₽
","
 ул Зеленая
 "
112,"
 Дом 90 м² на участке 14 сот.
 ","
 1 900 000  ₽
","
 Зелёная ул.
 "
113,"
 Дом 40 м² на участке 13 сот.
 ","
 850 000  ₽
","
 Хабаровская ул., 9
 "
114,"
 Дом 30 м² на участке 12 сот.
 ","
 600 000  ₽
","
 ул. Колина, 33
 "
115,"
 Дом 47 м² на участке 7 сот.
 ","
 1 150 000  ₽
","
 ул. Гагарина, 106
 "
116,"
 Дом 54 м² на участке 9 сот.
 ","
 1 400 000  ₽
","
 Арматурная ул., 54
 "
117,"
 Коттедж 160 м² на участке 15.6 сот.
 ","
 9 500 000  ₽
","
 ул. Кирова, 47
 "
118,"
 Дом 76 м² на участке 8 сот.
 ","
 1 500 000  ₽
","
 ул. Мичурина
 "
119,"
 Дом 56 м² на участке 5 сот.
 ","
 2 800 000  ₽
","
 ул. Толстого, 47
 "
120,"
 Дом 90 м² на участке 15 сот.
 ","
 3 300 000  ₽
","
 кирпичная 10
 "
121,"
 Дача 215 м² на участке 30 сот.
 ","
 7 250 000  ₽
","
 Боданово, 4
 "
122,"
 Дом 54 м² на участке 20 сот.
 ","
 400 000  ₽
","
 Челябинская область, Аша
 "
123,"
 Дом 37.4 м² на участке 15 сот.
 ","
 350 000  ₽
","
 пос. Сухая Атя
 "
124,"
 Дом 65.7 м² на участке 9.3 сот.
 ","
 1 100 000  ₽
","
 ул. Лебедева, 43
 "
125,"
 Дача 20 м² на участке 4 сот.
 ","
 75 000  ₽
","
 Челябинская область, Аша, СНТ Сад № 6
 "
126,"
 Дом 30 м² на участке 8 сот.
 ","
 650 000  ₽
","
 ул. Злобина
 "
